op_type,count,is_key_op
Constant,2738,False
Unsqueeze,828,False
Mul,766,False
Shape,401,False
Gather,346,True
Add,342,False
Concat,319,False
Cast,280,True
MatMul,237,True
Reshape,214,True
Div,209,False
Pow,157,False
ReduceMean,157,False
Sqrt,157,False
Transpose,132,True
Slice,130,False
Where,108,False
ConstantOfShape,57,False
Equal,56,False
Expand,56,False
Neg,52,False
IsNaN,26,False
Softmax,26,True
Tanh,26,False
And,6,False
Range,3,False
Cos,2,False
Sin,2,False
Flatten,1,False
Greater,1,False
LessOrEqual,1,False
Sub,1,False
