provider,context_length,decode_steps,runs,warmup_runs,decode_total_mean_ms,decode_per_token_mean_ms,latency_std_ms,status,source_profile_jsons
CPUExecutionProvider,128,8,1,0,1117.2073960187845,139.65092450234806,0.0,ok,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_long_decode/raw/context_128/decode_ctx128_steps8_run0.json
CPUExecutionProvider,128,32,1,0,4380.746694019763,136.8983341881176,0.0,ok,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_long_decode/raw/context_128/decode_ctx128_steps32_run0.json
CPUExecutionProvider,128,64,1,0,8737.126367981546,136.51759949971165,0.0,ok,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_long_decode/raw/context_128/decode_ctx128_steps64_run0.json
CPUExecutionProvider,128,128,1,0,17624.173084019276,137.6888522189006,0.0,ok,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_long_decode/raw/context_128/decode_ctx128_steps128_run0.json
CPUExecutionProvider,128,256,1,0,35967.00021302968,140.49609458214718,0.0,ok,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_long_decode/raw/context_128/decode_ctx128_steps256_run0.json
CPUExecutionProvider,512,8,1,0,1994.3027379995328,249.2878422499416,0.0,ok,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_long_decode/raw/context_512/decode_ctx512_steps8_run0.json
CPUExecutionProvider,512,32,1,0,6877.5182829849655,214.92244634328017,0.0,ok,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_long_decode/raw/context_512/decode_ctx512_steps32_run0.json
CPUExecutionProvider,512,64,1,0,13083.892881986685,204.43582628104195,0.0,ok,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_long_decode/raw/context_512/decode_ctx512_steps64_run0.json
CPUExecutionProvider,512,128,1,0,25798.072297016915,201.54743982044465,0.0,ok,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_long_decode/raw/context_512/decode_ctx512_steps128_run0.json
CPUExecutionProvider,512,256,1,0,52140.4554508772,203.67365410498905,0.0,ok,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_long_decode/raw/context_512/decode_ctx512_steps256_run0.json
CPUExecutionProvider,2048,8,1,0,1801.4930990029825,225.1866373753728,0.0,ok,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_long_decode/raw/context_2048/decode_ctx2048_steps8_run0.json
CPUExecutionProvider,2048,32,1,0,9172.291395028878,286.63410609465245,0.0,ok,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_long_decode/raw/context_2048/decode_ctx2048_steps32_run0.json
CPUExecutionProvider,2048,64,1,0,11483.380249992479,179.42781640613248,0.0,ok,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_long_decode/raw/context_2048/decode_ctx2048_steps64_run0.json
CPUExecutionProvider,2048,128,1,0,22327.64198500081,174.43470300781883,0.0,ok,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_long_decode/raw/context_2048/decode_ctx2048_steps128_run0.json
CPUExecutionProvider,2048,256,1,0,61642.068251996534,240.78932910936146,0.0,ok,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_long_decode/raw/context_2048/decode_ctx2048_steps256_run0.json
