phase,context_length,decode_steps,operator_group,call_count,total_us,phase_total_us,share_pct
prefill,128,0,MatMul,633,562234.0,729204.0,77.10242949846682
prefill,128,0,SimplifiedLayerNormalization,471,67591.0,729204.0,9.269148276751087
prefill,128,0,Mul,1020,31653.0,729204.0,4.340760610199615
prefill,128,0,Reshape/Transpose,954,7614.0,729204.0,1.0441522536903252
prefill,128,0,Gather,1038,6140.0,729204.0,0.8420140317387179
prefill,128,0,Cast,6,38.0,729204.0,0.005211161759946462
decode,128,1,MatMul,633,369726.0,449777.0,82.20206902531699
decode,128,1,SimplifiedLayerNormalization,471,19187.0,449777.0,4.265891764140896
decode,128,1,Gather,1038,12254.0,449777.0,2.7244612330110254
decode,128,1,Mul,1020,6027.0,449777.0,1.3399973764776767
decode,128,1,Reshape/Transpose,954,4730.0,449777.0,1.0516322533166436
decode,128,1,Cast,6,35.0,449777.0,0.007781634009742605
decode,128,2,MatMul,1266,727217.0,834989.0,87.09300362040698
decode,128,2,Mul,2040,11980.0,834989.0,1.4347494398129794
decode,128,2,Reshape/Transpose,1908,10482.0,834989.0,1.2553458788079843
decode,128,2,Gather,2076,10029.0,834989.0,1.2010936671022014
decode,128,2,SimplifiedLayerNormalization,942,9246.0,834989.0,1.1073199766703514
decode,128,2,Cast,12,68.0,834989.0,0.008143819858704725
decode,128,4,MatMul,2532,1548109.0,1770943.0,87.41721218582417
decode,128,4,Mul,4080,27429.0,1770943.0,1.5488358462130063
decode,128,4,SimplifiedLayerNormalization,1884,24627.0,1770943.0,1.390615056498148
decode,128,4,Gather,4152,20153.0,1770943.0,1.1379812901939814
decode,128,4,Reshape/Transpose,3816,19110.0,1770943.0,1.0790861140081867
decode,128,4,Cast,24,137.0,1770943.0,0.007735991502832108
decode,128,8,MatMul,5064,2855042.0,3292126.0,86.7233514148608
decode,128,8,Reshape/Transpose,7632,50544.0,3292126.0,1.535299681725426
decode,128,8,Mul,8160,47833.0,3292126.0,1.4529516792492145
decode,128,8,SimplifiedLayerNormalization,3768,43612.0,3292126.0,1.3247366595324723
decode,128,8,Gather,8304,40460.0,3292126.0,1.2289930579813775
decode,128,8,Cast,48,271.0,3292126.0,0.00823176269681051
prefill,512,0,MatMul,633,1823128.0,2542870.0,71.6956824375607
prefill,512,0,Mul,1020,393346.0,2542870.0,15.468584709403155
prefill,512,0,SimplifiedLayerNormalization,471,48010.0,2542870.0,1.888024161675587
prefill,512,0,Reshape/Transpose,954,14992.0,2542870.0,0.5895700527356884
prefill,512,0,Gather,1038,6836.0,2542870.0,0.2688301014208355
prefill,512,0,Cast,6,37.0,2542870.0,0.0014550488227868513
