dim,scope,entity,metric,used,total,percent,source_report,notes
16,fitter_final,,Total logic elements,119,49760,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,Total combinational functions,87,49760,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,Dedicated logic registers,71,49760,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,Total pins,35,360,10%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,Total memory bits,0,1677312,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,Embedded Multiplier 9-bit elements,1,288,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,Total PLLs,0,4,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,UFM blocks,0,1,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,ADC blocks,0,2,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,entity_utilization,sweep_top_wrapper,Combinational ALUTs,85,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim16) from Quartus map.rpt
