phase,context_length,decode_steps,runs,warmup_runs,latency_mean_ms,latency_p50_ms,latency_std_ms,per_token_mean_ms,profile_jsons,status,error
prefill,128,0,3,1,250.47545633303042,231.81416499937768,33.917534446726194,1.9568395026018002,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_128/prefill_ctx128_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_128/prefill_ctx128_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_128/prefill_ctx128_run2.json,ok,
decode,128,1,3,1,157.66836033314272,145.48832699802006,21.39538261395255,157.66836033314272,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_128/decode_ctx128_steps1_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_128/decode_ctx128_steps1_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_128/decode_ctx128_steps1_run2.json,ok,
decode,128,2,3,1,291.7811999989984,292.22555399974226,3.870429189325842,145.8905999994992,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_128/decode_ctx128_steps2_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_128/decode_ctx128_steps2_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_128/decode_ctx128_steps2_run2.json,ok,
decode,128,4,3,1,618.4098593342545,572.5747949982178,85.07370493192435,154.60246483356363,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_128/decode_ctx128_steps4_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_128/decode_ctx128_steps4_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_128/decode_ctx128_steps4_run2.json,ok,
decode,128,8,3,1,1152.4589716646005,1144.1672010005277,14.557242923086239,144.05737145807507,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_128/decode_ctx128_steps8_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_128/decode_ctx128_steps8_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_128/decode_ctx128_steps8_run2.json,ok,
prefill,512,0,3,1,856.6811946645126,864.484089997859,15.601743907221806,1.6732054583291263,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_512/prefill_ctx512_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_512/prefill_ctx512_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_512/prefill_ctx512_run2.json,ok,
decode,512,1,3,1,164.5727616669319,151.77342499737279,22.660253988723998,164.5727616669319,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_512/decode_ctx512_steps1_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_512/decode_ctx512_steps1_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_512/decode_ctx512_steps1_run2.json,ok,
decode,512,2,3,1,324.0529896696292,329.8915270024736,10.420484400248203,162.0264948348146,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_512/decode_ctx512_steps2_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_512/decode_ctx512_steps2_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_512/decode_ctx512_steps2_run2.json,ok,
decode,512,4,3,1,627.9115036656245,629.8868589983613,19.183106874311274,156.97787591640613,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_512/decode_ctx512_steps4_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_512/decode_ctx512_steps4_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_512/decode_ctx512_steps4_run2.json,ok,
decode,512,8,3,1,1216.567319665046,1207.4464010001975,38.69060515573407,152.07091495813074,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_512/decode_ctx512_steps8_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_512/decode_ctx512_steps8_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_512/decode_ctx512_steps8_run2.json,ok,
prefill,1024,0,3,1,2330.855477333292,2303.228222997859,164.98215357069992,2.276226052083293,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/prefill_ctx1024_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/prefill_ctx1024_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/prefill_ctx1024_run2.json,ok,
decode,1024,1,3,1,179.04059833381325,166.15630200249143,29.24637153014012,179.04059833381325,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/decode_ctx1024_steps1_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/decode_ctx1024_steps1_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/decode_ctx1024_steps1_run2.json,ok,
