seq,input_dim,output_dim,macs,generation_ms,tcl_generate_ms,total_wall_latency_ms,system_console_elapsed_ms,jtag_write_ms,jtag_poll_ms,jtag_read_ms,compute_cycles,core_total_cycles,clock_hz,compute_time_us_50mhz,core_total_time_us_50mhz,status_register,debug_status,last_run_id,reference,result,correctness_pass,run_status,quartus_tool,quartus_tool_path,cable,service_path,sof_path,sof_sha256,tcl_script,error,stdout_tail,stderr_tail
0,16,4,64,0.09370001498609781,0.3431999939493835,7745.873100007884,256,231,5,20,65,65,50000000,1.3,1.3,2,2,0,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,Windows Quartus system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,quartus/de10_lite_jtag_matvec/output_files/de10_lite_jtag_matvec.sof,d3e07b8b14a19bede927d7af7e72d17f48741bb0cd03fc4c3c666172d9abb989,logs\jtag_cycle_counter_clean_rebuild_final_20260701_cmd\generated_jtag_matvec_run0.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=0 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000000 r0=-271 r1=239 r2=287 r3=797 write_ms=231 poll_ms=5 read_ms=20 elapsed_ms=256
",
1,16,4,64,0.12389995390549302,0.6025000475347042,7755.939800001215,277,248,6,23,65,65,50000000,1.3,1.3,2,2,1,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,Windows Quartus system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,quartus/de10_lite_jtag_matvec/output_files/de10_lite_jtag_matvec.sof,d3e07b8b14a19bede927d7af7e72d17f48741bb0cd03fc4c3c666172d9abb989,logs\jtag_cycle_counter_clean_rebuild_final_20260701_cmd\generated_jtag_matvec_run1.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=1 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000001 r0=-271 r1=239 r2=287 r3=797 write_ms=248 poll_ms=6 read_ms=23 elapsed_ms=277
",
2,16,4,64,0.09750004392117262,0.5774999735876918,7743.012899998575,258,229,6,23,65,65,50000000,1.3,1.3,2,2,2,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,Windows Quartus system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,quartus/de10_lite_jtag_matvec/output_files/de10_lite_jtag_matvec.sof,d3e07b8b14a19bede927d7af7e72d17f48741bb0cd03fc4c3c666172d9abb989,logs\jtag_cycle_counter_clean_rebuild_final_20260701_cmd\generated_jtag_matvec_run2.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=2 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000002 r0=-271 r1=239 r2=287 r3=797 write_ms=229 poll_ms=6 read_ms=23 elapsed_ms=258
",
3,16,4,64,0.09739998495206237,0.6469999789260328,7751.604000048246,271,245,6,20,65,65,50000000,1.3,1.3,2,2,3,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,Windows Quartus system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,quartus/de10_lite_jtag_matvec/output_files/de10_lite_jtag_matvec.sof,d3e07b8b14a19bede927d7af7e72d17f48741bb0cd03fc4c3c666172d9abb989,logs\jtag_cycle_counter_clean_rebuild_final_20260701_cmd\generated_jtag_matvec_run3.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=3 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000003 r0=-271 r1=239 r2=287 r3=797 write_ms=245 poll_ms=6 read_ms=20 elapsed_ms=271
",
4,16,4,64,0.09849999332800508,0.5459000240080059,7768.214599986095,272,242,5,25,65,65,50000000,1.3,1.3,2,2,4,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,Windows Quartus system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,quartus/de10_lite_jtag_matvec/output_files/de10_lite_jtag_matvec.sof,d3e07b8b14a19bede927d7af7e72d17f48741bb0cd03fc4c3c666172d9abb989,logs\jtag_cycle_counter_clean_rebuild_final_20260701_cmd\generated_jtag_matvec_run4.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=4 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000004 r0=-271 r1=239 r2=287 r3=797 write_ms=242 poll_ms=5 read_ms=25 elapsed_ms=272
",
5,16,4,64,0.0971999834291637,0.5754000158049166,7754.294099984691,268,239,5,24,65,65,50000000,1.3,1.3,2,2,5,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,Windows Quartus system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,quartus/de10_lite_jtag_matvec/output_files/de10_lite_jtag_matvec.sof,d3e07b8b14a19bede927d7af7e72d17f48741bb0cd03fc4c3c666172d9abb989,logs\jtag_cycle_counter_clean_rebuild_final_20260701_cmd\generated_jtag_matvec_run5.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=5 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000005 r0=-271 r1=239 r2=287 r3=797 write_ms=239 poll_ms=5 read_ms=24 elapsed_ms=268
",
6,16,4,64,0.09570003021508455,0.5310999695211649,7756.458299991209,249,219,6,24,65,65,50000000,1.3,1.3,2,2,6,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,Windows Quartus system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,quartus/de10_lite_jtag_matvec/output_files/de10_lite_jtag_matvec.sof,d3e07b8b14a19bede927d7af7e72d17f48741bb0cd03fc4c3c666172d9abb989,logs\jtag_cycle_counter_clean_rebuild_final_20260701_cmd\generated_jtag_matvec_run6.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=6 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000006 r0=-271 r1=239 r2=287 r3=797 write_ms=219 poll_ms=6 read_ms=24 elapsed_ms=249
",
7,16,4,64,0.10730000212788582,0.6273000035434961,7755.885599995963,257,228,5,24,65,65,50000000,1.3,1.3,2,2,7,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,Windows Quartus system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,quartus/de10_lite_jtag_matvec/output_files/de10_lite_jtag_matvec.sof,d3e07b8b14a19bede927d7af7e72d17f48741bb0cd03fc4c3c666172d9abb989,logs\jtag_cycle_counter_clean_rebuild_final_20260701_cmd\generated_jtag_matvec_run7.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=7 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000007 r0=-271 r1=239 r2=287 r3=797 write_ms=228 poll_ms=5 read_ms=24 elapsed_ms=257
",
8,16,4,64,0.12059998698532581,0.658900011330843,7774.418600019999,270,245,6,19,65,65,50000000,1.3,1.3,2,2,8,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,Windows Quartus system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,quartus/de10_lite_jtag_matvec/output_files/de10_lite_jtag_matvec.sof,d3e07b8b14a19bede927d7af7e72d17f48741bb0cd03fc4c3c666172d9abb989,logs\jtag_cycle_counter_clean_rebuild_final_20260701_cmd\generated_jtag_matvec_run8.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=8 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000008 r0=-271 r1=239 r2=287 r3=797 write_ms=245 poll_ms=6 read_ms=19 elapsed_ms=270
",
9,16,4,64,0.0971999834291637,0.6590000120922923,7770.994300022721,252,221,7,24,65,65,50000000,1.3,1.3,2,2,9,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,Windows Quartus system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,quartus/de10_lite_jtag_matvec/output_files/de10_lite_jtag_matvec.sof,d3e07b8b14a19bede927d7af7e72d17f48741bb0cd03fc4c3c666172d9abb989,logs\jtag_cycle_counter_clean_rebuild_final_20260701_cmd\generated_jtag_matvec_run9.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=9 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000009 r0=-271 r1=239 r2=287 r3=797 write_ms=221 poll_ms=7 read_ms=24 elapsed_ms=252
",
