seq,input_dim,output_dim,macs,generation_ms,tcl_generate_ms,total_wall_latency_ms,system_console_elapsed_ms,jtag_write_ms,jtag_poll_ms,jtag_read_ms,compute_cycles,core_total_cycles,clock_hz,compute_time_us_50mhz,core_total_time_us_50mhz,status_register,debug_status,last_run_id,reference,result,correctness_pass,run_status,quartus_tool,quartus_tool_path,cable,service_path,sof_path,sof_sha256,tcl_script,error,stdout_tail,stderr_tail
0,16,4,64,0.10840001050382853,0.8756999741308391,7733.539600041695,234,210,5,19,65,65,50000000,1.3,1.3,2,2,0,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,C:\altera_lite\25.1std\quartus\sopc_builder\bin\system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,C:\Users\dbsgu\Dev\sllm_fpga_board_eval\repo\quartus\de10_lite_jtag_matvec\output_files\de10_lite_jtag_matvec.sof,40a4f84167d2fd75972ea33684ec949b6c22e61057f1c134dd5bd4b936ef4a84,logs\jtag_cycle_counter_clean_rebuild_final\generated_jtag_matvec_run0.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=0 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000000 r0=-271 r1=239 r2=287 r3=797 write_ms=210 poll_ms=5 read_ms=19 elapsed_ms=234
",
1,16,4,64,0.14560000272467732,0.7223000284284353,7701.806999975815,234,206,6,22,65,65,50000000,1.3,1.3,2,2,1,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,C:\altera_lite\25.1std\quartus\sopc_builder\bin\system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,C:\Users\dbsgu\Dev\sllm_fpga_board_eval\repo\quartus\de10_lite_jtag_matvec\output_files\de10_lite_jtag_matvec.sof,40a4f84167d2fd75972ea33684ec949b6c22e61057f1c134dd5bd4b936ef4a84,logs\jtag_cycle_counter_clean_rebuild_final\generated_jtag_matvec_run1.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=1 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000001 r0=-271 r1=239 r2=287 r3=797 write_ms=206 poll_ms=6 read_ms=22 elapsed_ms=234
",
2,16,4,64,0.1218999968841672,0.6786000449210405,7704.0078999707475,211,188,5,18,65,65,50000000,1.3,1.3,2,2,2,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,C:\altera_lite\25.1std\quartus\sopc_builder\bin\system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,C:\Users\dbsgu\Dev\sllm_fpga_board_eval\repo\quartus\de10_lite_jtag_matvec\output_files\de10_lite_jtag_matvec.sof,40a4f84167d2fd75972ea33684ec949b6c22e61057f1c134dd5bd4b936ef4a84,logs\jtag_cycle_counter_clean_rebuild_final\generated_jtag_matvec_run2.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=2 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000002 r0=-271 r1=239 r2=287 r3=797 write_ms=188 poll_ms=5 read_ms=18 elapsed_ms=211
",
3,16,4,64,0.12450001668184996,0.8021999965421855,7739.952200034168,224,199,6,19,65,65,50000000,1.3,1.3,2,2,3,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,C:\altera_lite\25.1std\quartus\sopc_builder\bin\system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,C:\Users\dbsgu\Dev\sllm_fpga_board_eval\repo\quartus\de10_lite_jtag_matvec\output_files\de10_lite_jtag_matvec.sof,40a4f84167d2fd75972ea33684ec949b6c22e61057f1c134dd5bd4b936ef4a84,logs\jtag_cycle_counter_clean_rebuild_final\generated_jtag_matvec_run3.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=3 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000003 r0=-271 r1=239 r2=287 r3=797 write_ms=199 poll_ms=6 read_ms=19 elapsed_ms=224
",
4,16,4,64,0.13380002928897738,0.7015999872237444,7725.916999974288,227,202,6,19,65,65,50000000,1.3,1.3,2,2,4,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,C:\altera_lite\25.1std\quartus\sopc_builder\bin\system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,C:\Users\dbsgu\Dev\sllm_fpga_board_eval\repo\quartus\de10_lite_jtag_matvec\output_files\de10_lite_jtag_matvec.sof,40a4f84167d2fd75972ea33684ec949b6c22e61057f1c134dd5bd4b936ef4a84,logs\jtag_cycle_counter_clean_rebuild_final\generated_jtag_matvec_run4.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=4 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000004 r0=-271 r1=239 r2=287 r3=797 write_ms=202 poll_ms=6 read_ms=19 elapsed_ms=227
",
5,16,4,64,0.14940003165975213,0.8029000018723309,7697.50579999527,221,193,5,23,65,65,50000000,1.3,1.3,2,2,5,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,C:\altera_lite\25.1std\quartus\sopc_builder\bin\system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,C:\Users\dbsgu\Dev\sllm_fpga_board_eval\repo\quartus\de10_lite_jtag_matvec\output_files\de10_lite_jtag_matvec.sof,40a4f84167d2fd75972ea33684ec949b6c22e61057f1c134dd5bd4b936ef4a84,logs\jtag_cycle_counter_clean_rebuild_final\generated_jtag_matvec_run5.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=5 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000005 r0=-271 r1=239 r2=287 r3=797 write_ms=193 poll_ms=5 read_ms=23 elapsed_ms=221
",
6,16,4,64,0.16459997277706861,0.8210000232793391,7714.3048999714665,207,183,6,18,65,65,50000000,1.3,1.3,2,2,6,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,C:\altera_lite\25.1std\quartus\sopc_builder\bin\system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,C:\Users\dbsgu\Dev\sllm_fpga_board_eval\repo\quartus\de10_lite_jtag_matvec\output_files\de10_lite_jtag_matvec.sof,40a4f84167d2fd75972ea33684ec949b6c22e61057f1c134dd5bd4b936ef4a84,logs\jtag_cycle_counter_clean_rebuild_final\generated_jtag_matvec_run6.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=6 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000006 r0=-271 r1=239 r2=287 r3=797 write_ms=183 poll_ms=6 read_ms=18 elapsed_ms=207
",
7,16,4,64,0.09849999332800508,0.5969000048935413,7724.203099962324,226,202,5,19,65,65,50000000,1.3,1.3,2,2,7,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,C:\altera_lite\25.1std\quartus\sopc_builder\bin\system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,C:\Users\dbsgu\Dev\sllm_fpga_board_eval\repo\quartus\de10_lite_jtag_matvec\output_files\de10_lite_jtag_matvec.sof,40a4f84167d2fd75972ea33684ec949b6c22e61057f1c134dd5bd4b936ef4a84,logs\jtag_cycle_counter_clean_rebuild_final\generated_jtag_matvec_run7.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=7 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000007 r0=-271 r1=239 r2=287 r3=797 write_ms=202 poll_ms=5 read_ms=19 elapsed_ms=226
",
8,16,4,64,0.0971999834291637,0.8639000006951392,7753.057399997488,253,224,5,24,65,65,50000000,1.3,1.3,2,2,8,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,C:\altera_lite\25.1std\quartus\sopc_builder\bin\system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,C:\Users\dbsgu\Dev\sllm_fpga_board_eval\repo\quartus\de10_lite_jtag_matvec\output_files\de10_lite_jtag_matvec.sof,40a4f84167d2fd75972ea33684ec949b6c22e61057f1c134dd5bd4b936ef4a84,logs\jtag_cycle_counter_clean_rebuild_final\generated_jtag_matvec_run8.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=8 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000008 r0=-271 r1=239 r2=287 r3=797 write_ms=224 poll_ms=5 read_ms=24 elapsed_ms=253
",
9,16,4,64,0.13609998859465122,1.0495000169612467,7748.626799962949,238,213,6,19,65,65,50000000,1.3,1.3,2,2,9,-271 239 287 797,-271 239 287 797,True,pass,system-console.exe,C:\altera_lite\25.1std\quartus\sopc_builder\bin\system-console.exe,USB-Blaster [USB-0],/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master,C:\Users\dbsgu\Dev\sllm_fpga_board_eval\repo\quartus\de10_lite_jtag_matvec\output_files\de10_lite_jtag_matvec.sof,40a4f84167d2fd75972ea33684ec949b6c22e61057f1c134dd5bd4b936ef4a84,logs\jtag_cycle_counter_clean_rebuild_final\generated_jtag_matvec_run9.tcl,,"k as well as system reset signal
    * To run JTAG loopback tests to analyze board noise problems
    * To shift arbitrary instruction register and data register values to
     instantiated system level debug (SLD) nodes

 In addition, the directory <QuartusII Dir>/sopc_builder/system_console/scripts
 contains Tcl files that provide miscellaneous utilities and examples of how to
 access the functionality provided. You can include those macros in your
 scripts by issuing Tcl source commands.
--------------------------------------------------------------------------------
JTAG_MATVEC_CABLES {/devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master}
JTAG_MATVEC_MASTER /devices/10M50DA(.|ES)|10M50DC@1#USB-0/(link)/JTAG/(110:132 v1 #0)/phy_0/master
JTAG_MATVEC_RESULT seq=9 status=0x00000002 debug_status=0x00000002 compute_cycles=0x00000041 core_total_cycles=0x00000041 last_run_id=0x00000009 r0=-271 r1=239 r2=287 r3=797 write_ms=213 poll_ms=6 read_ms=19 elapsed_ms=238
",
