input log file location, C:\Users\dbsgu\Dev\sllm_qnn_exp\pulled_y700_qnn_10\lm_head_htp_10\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
133434705108,INIT,95883,US,NETRUN,ROOT,null
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
133434893821,FINALIZE,95833,US,NETRUN,ROOT,Graph 0: lm_head_float
133434893821,FINALIZE,3015,US,BACKEND,ROOT,RPC (finalize) time
133434893821,FINALIZE,2752,US,BACKEND,ROOT,QNN accelerator (finalize) time
133434893821,FINALIZE,2650,US,BACKEND,ROOT,Accelerator (finalize) time
133434893821,FINALIZE,95805,US,BACKEND,ROOT,QNN (finalize) time
133434995611,DE-INIT,4917,US,NETRUN,ROOT,null
133434995611,DE-INIT,1022,US,BACKEND,ROOT,RPC (deinit) time
133434995611,DE-INIT,689,US,BACKEND,ROOT,QNN Accelerator (deinit) time
133434995611,DE-INIT,660,US,BACKEND,ROOT,Accelerator (deinit) time
133434995611,DE-INIT,4906,US,BACKEND,ROOT,QNN (deinit) time
133434912295,EXECUTE,3507,US,NETRUN,ROOT,Graph 0: lm_head_float
133434912295,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
133434912295,EXECUTE,2109,US,BACKEND,ROOT,RPC (execute) time
133434912295,EXECUTE,1856,US,BACKEND,ROOT,QNN accelerator (execute) time
133434912295,EXECUTE,1794,US,BACKEND,ROOT,Accelerator (execute) time
133434912295,EXECUTE,1432,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
133434912295,EXECUTE,3483,US,BACKEND,ROOT,QNN (execute) time
133434922321,EXECUTE,4084,US,NETRUN,ROOT,Graph 0: lm_head_float
133434922321,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
133434922321,EXECUTE,2827,US,BACKEND,ROOT,RPC (execute) time
133434922321,EXECUTE,1926,US,BACKEND,ROOT,QNN accelerator (execute) time
133434922321,EXECUTE,1871,US,BACKEND,ROOT,Accelerator (execute) time
133434922321,EXECUTE,1787,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
133434922321,EXECUTE,4062,US,BACKEND,ROOT,QNN (execute) time
133434930981,EXECUTE,3041,US,NETRUN,ROOT,Graph 0: lm_head_float
133434930981,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
133434930981,EXECUTE,1740,US,BACKEND,ROOT,RPC (execute) time
133434930981,EXECUTE,1465,US,BACKEND,ROOT,QNN accelerator (execute) time
133434930981,EXECUTE,1422,US,BACKEND,ROOT,Accelerator (execute) time
133434930981,EXECUTE,1372,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
133434930981,EXECUTE,3023,US,BACKEND,ROOT,QNN (execute) time
133434938673,EXECUTE,3108,US,NETRUN,ROOT,Graph 0: lm_head_float
133434938673,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
133434938673,EXECUTE,1707,US,BACKEND,ROOT,RPC (execute) time
133434938673,EXECUTE,1445,US,BACKEND,ROOT,QNN accelerator (execute) time
133434938673,EXECUTE,1406,US,BACKEND,ROOT,Accelerator (execute) time
133434938673,EXECUTE,1354,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
133434938673,EXECUTE,3091,US,BACKEND,ROOT,QNN (execute) time
133434946953,EXECUTE,3046,US,NETRUN,ROOT,Graph 0: lm_head_float
133434946953,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
133434946953,EXECUTE,1727,US,BACKEND,ROOT,RPC (execute) time
133434946953,EXECUTE,1458,US,BACKEND,ROOT,QNN accelerator (execute) time
133434946953,EXECUTE,1417,US,BACKEND,ROOT,Accelerator (execute) time
133434946953,EXECUTE,1368,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
133434946953,EXECUTE,3030,US,BACKEND,ROOT,QNN (execute) time
133434954924,EXECUTE,3127,US,NETRUN,ROOT,Graph 0: lm_head_float
