input log file location, C:\Users\dbsgu\Dev\sllm_qnn_exp\pulled_y700_qnn_10\mlp_cpu_10\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
133434596112,INIT,13849,US,NETRUN,ROOT,null
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
133434612485,FINALIZE,13845,US,NETRUN,ROOT,Graph 0: mlp_float
133434612485,FINALIZE,13838,US,BACKEND,ROOT,GRAPH_FINALIZE
133434914070,DE-INIT,4400,US,NETRUN,ROOT,null
133434914070,DE-INIT,0,US,BACKEND,ROOT,null
133434654377,EXECUTE,21069,US,NETRUN,ROOT,Graph 0: mlp_float
133434654377,EXECUTE,10134,US,BACKEND,ROOT,GRAPH_EXECUTE
133434680165,EXECUTE,15796,US,NETRUN,ROOT,Graph 0: mlp_float
133434680165,EXECUTE,13055,US,BACKEND,ROOT,GRAPH_EXECUTE
133434712913,EXECUTE,18516,US,NETRUN,ROOT,Graph 0: mlp_float
133434712913,EXECUTE,15976,US,BACKEND,ROOT,GRAPH_EXECUTE
133434740602,EXECUTE,15973,US,NETRUN,ROOT,Graph 0: mlp_float
133434740602,EXECUTE,11804,US,BACKEND,ROOT,GRAPH_EXECUTE
133434773770,EXECUTE,18545,US,NETRUN,ROOT,Graph 0: mlp_float
133434773770,EXECUTE,15935,US,BACKEND,ROOT,GRAPH_EXECUTE
133434806245,EXECUTE,18593,US,NETRUN,ROOT,Graph 0: mlp_float
133434806245,EXECUTE,14818,US,BACKEND,ROOT,GRAPH_EXECUTE
133434836279,EXECUTE,15719,US,NETRUN,ROOT,Graph 0: mlp_float
133434836279,EXECUTE,12686,US,BACKEND,ROOT,GRAPH_EXECUTE
133434862654,EXECUTE,12737,US,NETRUN,ROOT,Graph 0: mlp_float
133434862654,EXECUTE,10061,US,BACKEND,ROOT,GRAPH_EXECUTE
133434886640,EXECUTE,12704,US,NETRUN,ROOT,Graph 0: mlp_float
133434886640,EXECUTE,10432,US,BACKEND,ROOT,GRAPH_EXECUTE
133434907485,EXECUTE,11126,US,NETRUN,ROOT,Graph 0: mlp_float
133434907485,EXECUTE,9085,US,BACKEND,ROOT,GRAPH_EXECUTE
133434909344,EXECUTE IPS,33.912788,INF/SEC,NETRUN,ROOT,null
