input log file location, C:\Users\dbsgu\Dev\sllm_qnn_exp\pulled_y700_qnn_10\mlp_htp_10\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
133434970507,INIT,106026,US,NETRUN,ROOT,null
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
133435223620,FINALIZE,105866,US,NETRUN,ROOT,Graph 0: mlp_float
133435223620,FINALIZE,13407,US,BACKEND,ROOT,RPC (finalize) time
133435223620,FINALIZE,11987,US,BACKEND,ROOT,QNN accelerator (finalize) time
133435223620,FINALIZE,11818,US,BACKEND,ROOT,Accelerator (finalize) time
133435223620,FINALIZE,105838,US,BACKEND,ROOT,QNN (finalize) time
133435678562,DE-INIT,24164,US,NETRUN,ROOT,null
133435678562,DE-INIT,2187,US,BACKEND,ROOT,RPC (deinit) time
133435678562,DE-INIT,1383,US,BACKEND,ROOT,QNN Accelerator (deinit) time
133435678562,DE-INIT,1336,US,BACKEND,ROOT,Accelerator (deinit) time
133435678562,DE-INIT,24133,US,BACKEND,ROOT,QNN (deinit) time
133435256393,EXECUTE,16056,US,NETRUN,ROOT,Graph 0: mlp_float
133435256393,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
133435256393,EXECUTE,14243,US,BACKEND,ROOT,RPC (execute) time
133435256393,EXECUTE,12446,US,BACKEND,ROOT,QNN accelerator (execute) time
133435256393,EXECUTE,12349,US,BACKEND,ROOT,Accelerator (execute) time
133435256393,EXECUTE,11428,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
133435256393,EXECUTE,16027,US,BACKEND,ROOT,QNN (execute) time
133435290078,EXECUTE,17721,US,NETRUN,ROOT,Graph 0: mlp_float
133435290078,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
133435290078,EXECUTE,14932,US,BACKEND,ROOT,RPC (execute) time
133435290078,EXECUTE,13060,US,BACKEND,ROOT,QNN accelerator (execute) time
133435290078,EXECUTE,12947,US,BACKEND,ROOT,Accelerator (execute) time
133435290078,EXECUTE,12818,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
133435290078,EXECUTE,17691,US,BACKEND,ROOT,QNN (execute) time
133435337728,EXECUTE,21410,US,NETRUN,ROOT,Graph 0: mlp_float
133435337728,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
133435337728,EXECUTE,17405,US,BACKEND,ROOT,RPC (execute) time
133435337728,EXECUTE,14880,US,BACKEND,ROOT,QNN accelerator (execute) time
133435337728,EXECUTE,14755,US,BACKEND,ROOT,Accelerator (execute) time
133435337728,EXECUTE,14615,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
133435337728,EXECUTE,21361,US,BACKEND,ROOT,QNN (execute) time
133435386602,EXECUTE,19011,US,NETRUN,ROOT,Graph 0: mlp_float
