input log file location, C:\Users\dbsgu\Dev\sllm_qnn_exp\pulled_y700_qnn_htp_mlp\mlp_htp\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
133377825432,INIT,109235,US,NETRUN,ROOT,null
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
133378063753,FINALIZE,108705,US,NETRUN,ROOT,Graph 0: mlp_float
133378063753,FINALIZE,15427,US,BACKEND,ROOT,RPC (finalize) time
133378063753,FINALIZE,14042,US,BACKEND,ROOT,QNN accelerator (finalize) time
133378063753,FINALIZE,13916,US,BACKEND,ROOT,Accelerator (finalize) time
133378063753,FINALIZE,108665,US,BACKEND,ROOT,QNN (finalize) time
133378133546,DE-INIT,21983,US,NETRUN,ROOT,null
133378133546,DE-INIT,2891,US,BACKEND,ROOT,RPC (deinit) time
133378133546,DE-INIT,1409,US,BACKEND,ROOT,QNN Accelerator (deinit) time
133378133546,DE-INIT,1355,US,BACKEND,ROOT,Accelerator (deinit) time
133378133546,DE-INIT,21862,US,BACKEND,ROOT,QNN (deinit) time
133378109279,EXECUTE,16946,US,NETRUN,ROOT,Graph 0: mlp_float
133378109279,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
133378109279,EXECUTE,15055,US,BACKEND,ROOT,RPC (execute) time
133378109279,EXECUTE,13497,US,BACKEND,ROOT,QNN accelerator (execute) time
133378109279,EXECUTE,13425,US,BACKEND,ROOT,Accelerator (execute) time
133378109279,EXECUTE,11478,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
133378109279,EXECUTE,16894,US,BACKEND,ROOT,QNN (execute) time
133378111078,EXECUTE IPS,21.934155,INF/SEC,NETRUN,ROOT,null
