corner,analysis,clock,slack_ns,tns_ns,fmax_mhz,restricted_fmax_mhz,source_report
Slow 1200mV 85C,Setup,CLOCK_50,9.307,0.000,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/de10_lite_qk/output_files/de10_lite_qk.sta.summary
Slow 1200mV 85C,Hold,CLOCK_50,0.348,0.000,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/de10_lite_qk/output_files/de10_lite_qk.sta.summary
Slow 1200mV 85C,Minimum Pulse Width,CLOCK_50,9.637,0.000,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/de10_lite_qk/output_files/de10_lite_qk.sta.summary
Slow 1200mV 0C,Setup,CLOCK_50,10.198,0.000,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/de10_lite_qk/output_files/de10_lite_qk.sta.summary
Slow 1200mV 0C,Hold,CLOCK_50,0.312,0.000,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/de10_lite_qk/output_files/de10_lite_qk.sta.summary
Slow 1200mV 0C,Minimum Pulse Width,CLOCK_50,9.646,0.000,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/de10_lite_qk/output_files/de10_lite_qk.sta.summary
Fast 1200mV 0C,Setup,CLOCK_50,15.523,0.000,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/de10_lite_qk/output_files/de10_lite_qk.sta.summary
Fast 1200mV 0C,Hold,CLOCK_50,0.152,0.000,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/de10_lite_qk/output_files/de10_lite_qk.sta.summary
Fast 1200mV 0C,Minimum Pulse Width,CLOCK_50,9.329,0.000,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/de10_lite_qk/output_files/de10_lite_qk.sta.summary
Slow 1200mV 85C,Fmax,CLOCK_50,,,93.52,93.52,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/de10_lite_qk/output_files/de10_lite_qk.sta.rpt
Slow 1200mV 0C,Fmax,CLOCK_50,,,102.02,102.02,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/de10_lite_qk/output_files/de10_lite_qk.sta.rpt
Multicorner,Worst-case Setup,CLOCK_50,9.307,0.000,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/de10_lite_qk/output_files/de10_lite_qk.sta.rpt
Multicorner,Worst-case Hold,CLOCK_50,0.152,0.000,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/de10_lite_qk/output_files/de10_lite_qk.sta.rpt
Multicorner,Worst-case Minimum Pulse Width,CLOCK_50,9.329,0.000,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/de10_lite_qk/output_files/de10_lite_qk.sta.rpt
