node_index,node_name,fallback_classification,confidence,input_names,output_names,parent_ops,child_ops,evidence
190,/model/layers.0/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.0/input_layernorm/Mul_1_output_0; onnx::MatMul_9586,/model/layers.0/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
214,/model/layers.0/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.0/input_layernorm/Mul_1_output_0; onnx::MatMul_9593,/model/layers.0/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
217,/model/layers.0/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.0/input_layernorm/Mul_1_output_0; onnx::MatMul_9594,/model/layers.0/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
400,/model/layers.0/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.0/self_attn/Mul_8_output_0; /model/layers.0/self_attn/Mul_9_output_0,/model/layers.0/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
409,/model/layers.0/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.0/self_attn/Where_3_output_0; /model/layers.0/self_attn/Reshape_6_output_0,/model/layers.0/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
418,/model/layers.0/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.0/self_attn/Reshape_7_output_0; onnx::MatMul_9621,/model/layers.0/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
488,/model/layers.1/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.1/input_layernorm/Mul_1_output_0; onnx::MatMul_9633,/model/layers.1/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
512,/model/layers.1/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.1/input_layernorm/Mul_1_output_0; onnx::MatMul_9640,/model/layers.1/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
515,/model/layers.1/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.1/input_layernorm/Mul_1_output_0; onnx::MatMul_9641,/model/layers.1/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
694,/model/layers.1/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.1/self_attn/Mul_8_output_0; /model/layers.1/self_attn/Mul_9_output_0,/model/layers.1/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
703,/model/layers.1/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.1/self_attn/Where_3_output_0; /model/layers.1/self_attn/Reshape_6_output_0,/model/layers.1/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
