phase,context_length,decode_steps,op_type,provider,profile_count,call_count,total_us,mean_us
prefill,128,0,MatMul,CPUExecutionProvider,3,633,562234.0,888.2053712480252
prefill,128,0,SimplifiedLayerNormalization,CPUExecutionProvider,3,471,67591.0,143.5053078556263
prefill,128,0,Mul,CPUExecutionProvider,3,1020,31653.0,31.03235294117647
prefill,128,0,Add,CPUExecutionProvider,3,555,9337.0,16.823423423423424
prefill,128,0,Unsqueeze,CPUExecutionProvider,3,1377,7193.0,5.223674655047204
prefill,128,0,Concat,CPUExecutionProvider,3,795,7139.0,8.979874213836478
prefill,128,0,Where,CPUExecutionProvider,3,318,6864.0,21.58490566037736
prefill,128,0,Gather,CPUExecutionProvider,3,1038,6140.0,5.9152215799614645
prefill,128,0,Slice,CPUExecutionProvider,3,390,4549.0,11.664102564102564
prefill,128,0,FusedMatMul,CPUExecutionProvider,3,78,4138.0,53.05128205128205
prefill,128,0,Transpose,CPUExecutionProvider,3,318,3973.0,12.4937106918239
prefill,128,0,Reshape,CPUExecutionProvider,3,636,3641.0,5.7248427672955975
prefill,128,0,Expand,CPUExecutionProvider,3,168,3020.0,17.976190476190474
prefill,128,0,Shape,CPUExecutionProvider,3,486,2527.0,5.199588477366255
prefill,128,0,Tanh,CPUExecutionProvider,3,78,2486.0,31.871794871794872
prefill,128,0,Neg,CPUExecutionProvider,3,156,1765.0,11.314102564102564
prefill,128,0,Equal,CPUExecutionProvider,3,162,1022.0,6.308641975308642
prefill,128,0,Softmax,CPUExecutionProvider,3,78,1014.0,13.0
prefill,128,0,Div,CPUExecutionProvider,3,156,1006.0,6.448717948717949
prefill,128,0,IsNaN,CPUExecutionProvider,3,78,975.0,12.5
prefill,128,0,Sin,CPUExecutionProvider,3,6,314.0,52.333333333333336
prefill,128,0,Cos,CPUExecutionProvider,3,6,306.0,51.0
prefill,128,0,And,CPUExecutionProvider,3,18,123.0,6.833333333333333
prefill,128,0,Range,CPUExecutionProvider,3,9,49.0,5.444444444444445
prefill,128,0,Cast,CPUExecutionProvider,3,6,38.0,6.333333333333333
prefill,128,0,Greater,CPUExecutionProvider,3,3,37.0,12.333333333333334
prefill,128,0,LessOrEqual,CPUExecutionProvider,3,3,34.0,11.333333333333334
