io_type,name,elem_type,shape,is_cache_io
input,input_ids,INT64,"[""batch_size"", ""sequence_length""]",False
input,attention_mask,INT64,"[""batch_size"", ""past_sequence_length + sequence_length""]",False
input,past_key_values.0.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.0.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.1.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.1.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.2.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.2.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.3.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.3.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.4.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.4.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.5.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.5.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.6.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.6.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.7.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.7.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.8.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.8.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.9.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.9.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.10.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.10.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.11.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
