provider,context_length,decode_steps,operator_group,call_count,total_us,phase_total_us,share_pct
CPUExecutionProvider,128,8,Concat,2120,21980.0,1056850.0,2.0797653403983536
CPUExecutionProvider,128,8,Expand,448,11261.0,1056850.0,1.0655249089274732
CPUExecutionProvider,128,8,MatMul,1688,906371.0,1056850.0,85.76155556606898
CPUExecutionProvider,128,8,Unsqueeze,3672,17104.0,1056850.0,1.6183942849032504
CPUExecutionProvider,128,8,shape_related_total,6240,50345.0,1056850.0,4.763684534229077
CPUExecutionProvider,128,32,Concat,8480,60002.0,4156410.0,1.4436015696237858
CPUExecutionProvider,128,32,Expand,1792,32718.0,4156410.0,0.787169696925953
CPUExecutionProvider,128,32,MatMul,6752,3617329.0,4156410.0,87.03012936644845
CPUExecutionProvider,128,32,Unsqueeze,14688,66088.0,4156410.0,1.5900260080213453
CPUExecutionProvider,128,32,shape_related_total,24960,158808.0,4156410.0,3.820797274571084
CPUExecutionProvider,128,64,Concat,16960,126507.0,8281374.0,1.527608824332774
CPUExecutionProvider,128,64,Expand,3584,79927.0,8281374.0,0.9651417747827837
CPUExecutionProvider,128,64,MatMul,13504,7141987.0,8281374.0,86.24157054131355
CPUExecutionProvider,128,64,Unsqueeze,29376,143594.0,8281374.0,1.733939319731243
CPUExecutionProvider,128,64,shape_related_total,49920,350028.0,8281374.0,4.2266899188468
CPUExecutionProvider,128,128,Concat,33920,249950.0,16723681.0,1.4945872263408995
CPUExecutionProvider,128,128,Expand,7168,159617.0,16723681.0,0.954437004628347
CPUExecutionProvider,128,128,MatMul,27008,14513307.0,16723681.0,86.78296961057795
CPUExecutionProvider,128,128,Unsqueeze,58752,266227.0,16723681.0,1.5919162772836912
CPUExecutionProvider,128,128,shape_related_total,99840,675794.0,16723681.0,4.040940508252938
CPUExecutionProvider,128,256,Concat,67840,548376.0,34165344.0,1.605065062421148
CPUExecutionProvider,128,256,Expand,14336,400583.0,34165344.0,1.1724834381881242
CPUExecutionProvider,128,256,MatMul,54016,29575440.0,34165344.0,86.56561455959583
CPUExecutionProvider,128,256,Unsqueeze,117504,535744.0,34165344.0,1.5680919237927182
CPUExecutionProvider,128,256,shape_related_total,199680,1484703.0,34165344.0,4.34564042440199
CPUExecutionProvider,512,8,Concat,2120,45387.0,1902933.0,2.3851076207097153
CPUExecutionProvider,512,8,Expand,448,99728.0,1902933.0,5.2407520390891325
