phase,context_length,decode_steps,category,node_name,graph_node_name,profile_node_name,graph_node_index,match_method,provider,call_count,total_us,mean_us,matmul_share_pct,example_input_type_shape,example_output_type_shape
prefill,128,0,lm_head,/lm_head/MatMul,/lm_head/MatMul,/lm_head/MatMul,7836,node_name,CPUExecutionProvider,3,162748.0,54249.333333333336,28.946666334657813,"[{""float"":[1,128,1152]}]","[{""float"":[1,128,262144]}]"
prefill,128,0,mlp_projection,/model/layers.4/mlp/up_proj/MatMul,/model/layers.4/mlp/up_proj/MatMul,/model/layers.4/mlp/up_proj/MatMul,1632,node_name,CPUExecutionProvider,3,9762.0,3254.0,1.736287737845808,"[{""float"":[1,128,1152]}]","[{""float"":[1,128,6912]}]"
prefill,128,0,mlp_projection,/model/layers.2/mlp/gate_proj/MatMul,/model/layers.2/mlp/gate_proj/MatMul,/model/layers.2/mlp/gate_proj/MatMul,1030,node_name,CPUExecutionProvider,3,7152.0,2384.0,1.2720682135907826,"[{""float"":[1,128,1152]}]","[{""float"":[1,128,6912]}]"
prefill,128,0,mlp_projection,/model/layers.3/mlp/gate_proj/MatMul,/model/layers.3/mlp/gate_proj/MatMul,/model/layers.3/mlp/gate_proj/MatMul,1324,node_name,CPUExecutionProvider,3,7146.0,2382.0,1.271001042270656,"[{""float"":[1,128,1152]}]","[{""float"":[1,128,6912]}]"
prefill,128,0,mlp_projection,/model/layers.16/mlp/down_proj/MatMul,/model/layers.16/mlp/down_proj/MatMul,/model/layers.16/mlp/down_proj/MatMul,5166,node_name,CPUExecutionProvider,3,6968.0,2322.6666666666665,1.2393416264402366,"[{""float"":[1,128,6912]}]","[{""float"":[1,128,1152]}]"
prefill,128,0,mlp_projection,/model/layers.0/mlp/up_proj/MatMul,/model/layers.0/mlp/up_proj/MatMul,/model/layers.0/mlp/up_proj/MatMul,456,node_name,CPUExecutionProvider,3,6802.0,2267.3333333333335,1.2098165532500702,"[{""float"":[1,128,1152]}]","[{""float"":[1,128,6912]}]"
prefill,128,0,mlp_projection,/model/layers.0/mlp/down_proj/MatMul,/model/layers.0/mlp/down_proj/MatMul,/model/layers.0/mlp/down_proj/MatMul,458,node_name,CPUExecutionProvider,3,6475.0,2158.3333333333335,1.1516557163031762,"[{""float"":[1,128,6912]}]","[{""float"":[1,128,1152]}]"
prefill,128,0,mlp_projection,/model/layers.17/mlp/down_proj/MatMul,/model/layers.17/mlp/down_proj/MatMul,/model/layers.17/mlp/down_proj/MatMul,5460,node_name,CPUExecutionProvider,3,6139.0,2046.3333333333333,1.0918941223760925,"[{""float"":[1,128,6912]}]","[{""float"":[1,128,1152]}]"
prefill,128,0,mlp_projection,/model/layers.15/mlp/gate_proj/MatMul,/model/layers.15/mlp/gate_proj/MatMul,/model/layers.15/mlp/gate_proj/MatMul,4856,node_name,CPUExecutionProvider,3,5659.0,1886.3333333333333,1.006520416765973,"[{""float"":[1,128,1152]}]","[{""float"":[1,128,6912]}]"
prefill,128,0,mlp_projection,/model/layers.10/mlp/down_proj/MatMul,/model/layers.10/mlp/down_proj/MatMul,/model/layers.10/mlp/down_proj/MatMul,3402,node_name,CPUExecutionProvider,3,5550.0,1850.0,0.9871334711170082,"[{""float"":[1,128,6912]}]","[{""float"":[1,128,1152]}]"
prefill,128,0,mlp_projection,/model/layers.9/mlp/up_proj/MatMul,/model/layers.9/mlp/up_proj/MatMul,/model/layers.9/mlp/up_proj/MatMul,3106,node_name,CPUExecutionProvider,3,5396.0,1798.6666666666667,0.9597427405670949,"[{""float"":[1,128,1152]}]","[{""float"":[1,128,6912]}]"
prefill,128,0,mlp_projection,/model/layers.13/mlp/up_proj/MatMul,/model/layers.13/mlp/up_proj/MatMul,/model/layers.13/mlp/up_proj/MatMul,4282,node_name,CPUExecutionProvider,3,5307.0,1769.0,0.9439130326518852,"[{""float"":[1,128,1152]}]","[{""float"":[1,128,6912]}]"
